,Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
96,7000.0,2007-06-05,chrisw1025,607.0,39.79%,278xx,NC,2 years,0.0
97,1000.0,2007-06-05,ErikBell,0.0,6.55%,800xx,CO,4 years,0.0
98,5000.0,2007-06-05,baileykearns,552.0,1.6%,450xx,OH,2 years,0.0
99,1300.0,2007-06-05,kimbbarr,643.0,22.5%,085xx,NJ,2 years,0.0
100,500.0,2007-06-05,Kiana_Noelle,547.0,18.52%,207xx,MD,4 years,0.0
101,1000.0,2007-06-05,Raistlan,647.0,7.21%,980xx,WA,7 years,0.0
102,1000.0,2007-06-05,chynadoll3586,531.0,493.6%,480xx,AL,1 year,0.0
103,3000.0,2007-06-06,Keith24601,612.0,6.72%,081xx,NJ,< 1 year,0.0
104,2000.0,2007-06-06,nicole38,656.0,5.51%,212xx,MD,1 year,0.0
105,5000.0,2007-06-06,Butterfly,528.0,18.4%,236xx,VA,2 years,0.0
106,2000.0,2007-06-06,speedy079,558.0,10.85%,085xx,NJ,5 years,0.0
107,10000.0,2007-06-06,demarishargett,461.0,14.76%,283xx,NC,3 years,0.0
108,6700.0,2007-06-06,LoveLearn,522.0,4.17%,302xx,GA,2 years,0.0
109,20000.0,2007-06-06,Back To School,690.0,0.4%,079xx,NJ,< 1 year,0.0
110,3400.0,2007-06-06,scooterodell,559.0,24.36%,145xx,NY,9 years,0.0
111,5000.0,2007-06-06,crazymacguy,633.0,13.03%,539xx,WI,< 1 year,0.0
112,8000.0,2007-06-06,TheresaF,481.0,12.21%,441xx,OH,< 1 year,0.0
113,6000.0,2007-06-07,tjudith,679.0,26.07%,232xx,VA,< 1 year,0.0
114,5000.0,2007-06-08,1OTH-MOUNTAIN-MAN,494.0,5.86%,136xx,NY,< 1 year,0.0
115,9500.0,2007-06-08,moneywise,582.0,1.47%,998xx,AK,1 year,0.0
116,3500.0,2007-06-08,tmsworld,583.0,3.12%,100xx,NY,< 1 year,0.0
117,1500.0,2007-06-08,Sapphieangel008,468.0,3.98%,452xx,OH,< 1 year,0.0
118,10000.0,2007-06-08,FSUgirl,565.0,6.48%,323xx,FL,< 1 year,0.0
119,10000.0,2007-06-08,GRNGLD08,576.0,46.15%,233xx,VA,< 1 year,0.0
120,800.0,2007-06-08,mozizzle86,696.0,24%,112xx,NY,< 1 year,0.0
121,10000.0,2007-06-08,brianmikalw,559.0,0%,136xx,NY,< 1 year,0.0
122,5000.0,2007-06-08,thephotoguy.seth,545.0,10.18%,337xx,TN,< 1 year,0.0
123,6000.0,2007-06-08,Chase,602.0,2.36%,354xx,AL,< 1 year,0.0
124,1000.0,2007-06-08,sgeorges86,626.0,3%,292xx,SC,< 1 year,0.0
125,1000.0,2007-06-08,meep737,640.0,5.51%,430xx,OH,1 year,0.0
126,15000.0,2007-06-09,laurel,528.0,34.27%,136xx,NY,< 1 year,0.0
127,2500.0,2007-06-09,kyrstyn,509.0,14.16%,171xx,PA,< 1 year,0.0
128,16000.0,2007-06-09,Eagle8XC Tuition loan,667.0,22.98%,056xx,VT,1 year,0.0
129,2000.0,2007-06-09,Emmyboo0569,607.0,6.91%,238xx,VA,1 year,0.0
130,4000.0,2007-06-09,jweme,609.0,14.5%,328xx,FL,< 1 year,0.0
131,2000.0,2007-06-09,Bizounce,450.0,14.34%,554xx,MN,< 1 year,0.0
132,3000.0,2007-06-09,lmhsfan,,9.26%,805xx,CO,< 1 year,0.0
133,6000.0,2007-06-09,Chuck Ave,492.0,12%,641xx,MO,< 1 year,0.0
134,2500.0,2007-06-10,RebelGrad07,549.0,21.94%,388xx,MS,7 years,0.0
135,3000.0,2007-06-10,mtalty,481.0,60.11%,462xx,IN,3 years,0.0
136,6000.0,2007-06-10,brint,716.0,4042.11%,752xx,TX,< 1 year,0.0
137,17000.0,2007-06-10,Consolidating credit cards,653.0,5.96%,212xx,MD,4 years,0.0
138,5000.0,2007-06-10,jedurs,621.0,2.6%,231xx,VA,< 1 year,0.0
139,7500.0,2007-06-10,Charles,629.0,45.95%,322xx,FL,6 years,0.0
140,15000.0,2007-06-11,vervec,615.0,15%,024xx,MA,8 years,0.0
141,4000.0,2007-06-11,Debt Consolidation,608.0,0%,558xx,MN,< 1 year,0.0
142,4000.0,2007-06-11,Nickolae3,628.0,6.36%,403xx,KY,< 1 year,0.0
143,1000.0,2007-06-11,Alison,585.0,24%,803xx,CO,< 1 year,0.0
144,1500.0,2007-06-11,jaja9487,493.0,6.4%,457xx,OH,1 year,0.0
145,6500.0,2007-06-11,Sammy,512.0,1.84%,021xx,MA,9 years,0.0
146,5000.0,2007-06-11,Mattd,598.0,24.7%,300xx,GA,1 year,0.0
147,4000.0,2007-06-11,mattwalker,490.0,36.92%,235xx,VA,4 years,0.0
148,1500.0,2007-06-11,nfields1,588.0,9.23%,395xx,MS,< 1 year,0.0
149,1000.0,2007-06-11,luckyspirit,612.0,36.7%,658xx,MO,1 year,0.0
150,10000.0,2007-06-12,ali82fla,503.0,17.3%,336xx,FL,2 years,0.0
151,6000.0,2007-06-12,dirtbag05,454.0,21.6%,240xx,VA,< 1 year,0.0
152,25000.0,2007-06-12,peytongunn,512.0,0.77%,287xx,NC,< 1 year,0.0
153,10000.0,2007-06-12,ejsejsejs,0.0,0%,641xx,MO,1 year,0.0
154,4975.0,2007-06-12,triple007,523.0,1.84%,302xx,GA,8 years,0.0
155,25000.0,2007-06-12,Friend in need,557.0,18.83%,463xx,IN,1 year,0.0
156,5000.0,2007-06-12,B_lucas,530.0,0%,191xx,PA,< 1 year,0.0
157,15000.0,2007-06-12,Oldhouserenovator,576.0,17.06%,014xx,MA,2 years,0.0
158,3000.0,2007-06-12,keep0njeepin0n,548.0,17.74%,299xx,SC,4 years,0.0
159,3000.0,2007-06-12,arod76,497.0,10.59%,292xx,SC,3 years,0.0
160,12000.0,2007-06-12,Tony_Texan,,100%,802xx,CO,< 1 year,0.0
161,14000.0,2007-06-13,enturio,693.0,27.98%,112xx,NY,3 years,0.0
162,25000.0,2007-06-13,AdamDJohnson,0.0,0%,773xx,TX,4 years,0.0
163,1000.0,2007-06-13,PackAttack25,489.0,0%,283xx,NC,< 1 year,0.0
164,11000.0,2007-06-13,jar73186,0.0,0.75%,660xx,KS,1 year,0.0
165,1000.0,2007-06-13,iamjames,535.0,4.68%,630xx,MO,2 years,0.0
166,5000.0,2007-06-14,Hotspitta4life,557.0,9.6%,125xx,NY,< 1 year,0.0
167,5000.0,2007-06-14,SadRobot,639.0,1.32%,981xx,WA,4 years,0.0
168,3000.0,2007-06-14,Debonair,478.0,48.24%,984xx,WA,1 year,0.0
169,1000.0,2007-06-14,jessicavk,736.0,25.64%,462xx,IN,2 years,0.0
170,4000.0,2007-06-14,Chris Anthony,640.0,48.6%,473xx,IN,4 years,0.0
171,12000.0,2007-06-14,Responsible34,536.0,10.15%,752xx,TX,< 1 year,0.0
172,2000.0,2007-06-14,lizoplex,549.0,27.94%,372xx,TN,< 1 year,0.0
173,2500.0,2007-06-15,kmdones,454.0,15.07%,206xx,MD,< 1 year,0.0
174,2000.0,2007-06-15,evolution333,522.0,0%,278xx,NC,< 1 year,0.0
175,7000.0,2007-06-15,ctg5ny,533.0,136.56%,306xx,GA,2 years,0.0
176,15000.0,2007-06-15,Tumalu,635.0,18.91%,750xx,TX,1 year,0.0
177,5000.0,2007-06-15,MizzDavis,631.0,20.64%,432xx,OH,1 year,0.0
178,2500.0,2007-06-15,djdecibal,475.0,42.55%,557xx,MN,1 year,0.0
179,2000.0,2007-06-15,bleitheiser,445.0,0%,532xx,WI,< 1 year,0.0
180,5000.0,2007-06-15,I need to refinance credit card debt that I got paying some legal fees,700.0,16.05%,774xx,TX,< 1 year,0.0
181,3000.0,2007-06-15,Selly,590.0,12.6%,257xx,WV,2 years,0.0
182,2500.0,2007-06-15,Lady_Neasha,0.0,8.67%,631xx,MO,1 year,0.0
183,25000.0,2007-06-16,emy,494.0,0%,331xx,FL,7 years,0.0
184,22000.0,2007-06-16,Stomping,645.0,37.09%,197xx,DE,2 years,0.0
185,2500.0,2007-06-17,trenee02,619.0,3%,372xx,TN,< 1 year,0.0
186,2000.0,2007-06-17,jackie1625,628.0,10.45%,431xx,OH,1 year,0.0
187,15000.0,2007-06-17,TDudai4,512.0,20.57%,325xx,FL,10+ years,0.0
188,5000.0,2007-06-17,levi,611.0,14.28%,652xx,MO,< 1 year,0.0
189,15000.0,2007-06-17,jfernando1,652.0,28.33%,328xx,FL,3 years,0.0
190,5000.0,2007-06-17,Stacked186,585.0,1.8%,148xx,NY,< 1 year,0.0
191,9000.0,2007-06-17,RKurth34,537.0,37.4%,991xx,WA,3 years,0.0
192,1000.0,2007-06-17,mansplace,525.0,8.36%,706xx,LA,< 1 year,0.0
193,3000.0,2007-06-17,AWoodard,560.0,4.8%,644xx,MO,1 year,0.0
194,1000.0,2007-06-18,young1jay,590.0,13.5%,067xx,CT,< 1 year,0.0
195,1500.0,2007-06-18,chrislee4life,470.0,4.44%,991xx,WA,4 years,0.0
196,10000.0,2007-06-18,topdog1203,490.0,4.02%,537xx,WI,2 years,0.0
197,10000.0,2007-06-18,hungwilfredo,693.0,31.65%,333xx,FL,3 years,0.0
198,3000.0,2007-06-18,jaj0165,634.0,17.93%,354xx,AL,10+ years,0.0
199,17000.0,2007-06-18,caterik,628.0,22.76%,481xx,MI,< 1 year,0.0
200,1000.0,2007-06-18,smollieolliepop,603.0,9.95%,760xx,TX,< 1 year,0.0
201,7000.0,2007-06-18,Mom wants to get rid of credit card,532.0,4.02%,508xx,IA,7 years,0.0
202,3000.0,2007-06-18,whyte_smoke_187,569.0,10.04%,703xx,LA,1 year,0.0
203,1000.0,2007-06-19,December Purchases & Christmas Shopping,628.0,7.8%,010xx,MA,< 1 year,0.0
204,10000.0,2007-06-19,Jay,605.0,28.46%,220xx,VA,1 year,0.0
205,4000.0,2007-06-19,ThePegLeg,,100%,796xx,TX,< 1 year,0.0
206,5000.0,2007-06-19,Dbrow113,544.0,32.64%,300xx,GA,2 years,0.0
207,1800.0,2007-06-19,ffadahunsi,516.0,9.33%,112xx,NY,< 1 year,0.0
208,10000.0,2007-06-19,strehlj,633.0,11.06%,336xx,FL,3 years,0.0
209,25000.0,2007-06-19,Tasia_Audre,483.0,9.26%,276xx,NC,< 1 year,0.0
210,5200.0,2007-06-19,jags1677,651.0,27.04%,605xx,IL,< 1 year,0.0
211,5000.0,2007-06-19,Vetri,604.0,26.5%,132xx,NY,1 year,0.0
212,2150.0,2007-06-19,KapSig,455.0,13.52%,532xx,WI,1 year,0.0
213,5000.0,2007-06-19,christinam84,594.0,0%,127xx,NY,1 year,0.0
214,23000.0,2007-06-19,Trying to consolidate debt,651.0,11.27%,984xx,WA,1 year,0.0
215,25000.0,2007-06-19,JoeMattie,642.0,41.64%,997xx,AK,1 year,0.0
216,2000.0,2007-06-19,Jlb7557,529.0,27.01%,925xx,CA,1 year,0.0
217,5000.0,2007-06-19,Nerdular,617.0,6.17%,982xx,UT,< 1 year,0.0
218,5000.0,2007-06-20,clogteachr,647.0,19.75%,482xx,MI,8 years,0.0
219,25000.0,2007-06-20,ajo,589.0,5.74%,560xx,MN,2 years,0.0
220,3000.0,2007-06-20,JoelBacon,683.0,4.69%,481xx,OH,2 years,0.0
221,5000.0,2007-06-20,Looking for some help to pay healthcare ,508.0,11.1%,115xx,NY,3 years,0.0
222,5000.0,2007-06-20,drulover4eva2000,564.0,24.6%,212xx,MD,10+ years,0.0
223,1000.0,2007-06-20,drsray55,561.0,67.14%,257xx,WV,2 years,0.0
224,3500.0,2007-06-21,mqs0420,572.0,0%,350xx,AL,< 1 year,0.0
225,7500.0,2007-06-21,mrwilson,525.0,24%,640xx,MO,3 years,0.0
226,1000.0,2007-06-21,jeremysegars,482.0,21.43%,752xx,TX,< 1 year,0.0
227,1500.0,2007-06-21,asquit,581.0,2.52%,660xx,KS,1 year,0.0
228,10000.0,2007-06-21,Loan Consolidation,635.0,13.35%,926xx,CA,1 year,0.0
229,4000.0,2007-06-21,musicjunkieg,515.0,12.29%,100xx,NY,< 1 year,0.0
230,12000.0,2007-06-21,incognito,789.0,22.72%,014xx,MA,5 years,0.0
231,8000.0,2007-06-21,One Payment Plan,595.0,15.67%,672xx,KS,< 1 year,0.0
232,1300.0,2007-06-21,micdavhen,468.0,11.53%,277xx,NC,1 year,0.0
233,3000.0,2007-06-21,echolis,543.0,7.3%,142xx,NY,5 years,0.0
234,2200.0,2007-06-21,velodave,596.0,0.5%,432xx,OH,2 years,0.0
235,25000.0,2007-06-21,callana,619.0,10.29%,021xx,MA,2 years,0.0
236,10000.0,2007-06-21,SFPT,474.0,12.93%,546xx,WI,< 1 year,0.0
237,1000.0,2007-06-22,BrianMc21,0.0,0%,314xx,GA,< 1 year,0.0
238,7500.0,2007-06-22,DonGuzz,528.0,0%,021xx,MA,5 years,0.0
239,1000.0,2007-06-22,ninjaone,646.0,109.2%,752xx,TX,< 1 year,0.0
240,5000.0,2007-06-22,operaprincess86,600.0,10.12%,021xx,MA,1 year,0.0
241,10000.0,2007-06-22,flippidot,0.0,0%,100xx,NY,2 years,0.0
242,3000.0,2007-06-22,digitalkp,594.0,9.07%,114xx,NY,< 1 year,0.0
243,20000.0,2007-06-22,zu,635.0,9.87%,333xx,FL,3 years,0.0
244,8500.0,2007-06-22,wxman,702.0,30.19%,735xx,OK,1 year,0.0
245,1000.0,2007-06-22,andyasstronaut,561.0,21.7%,787xx,TX,3 years,0.0
246,20000.0,2007-06-22,RexMundi,530.0,0.69%,981xx,WA,4 years,0.0
247,3500.0,2007-06-23,Kristen811,538.0,13.55%,135xx,NY,7 years,0.0
248,8000.0,2007-06-23,reveiled,462.0,12.38%,334xx,FL,< 1 year,0.0
249,9000.0,2007-06-23,insanebeauty222,625.0,2.81%,049xx,ME,< 1 year,0.0
250,4500.0,2007-06-23,lwilli2480,628.0,15.79%,958xx,CO,10+ years,0.0
251,1000.0,2007-06-23,audralea,710.0,18.8%,720xx,AR,< 1 year,0.0
252,25000.0,2007-06-23,wendylou65,565.0,43.25%,453xx,OH,10+ years,0.0
253,4000.0,2007-06-23,aliciaversteeg,666.0,6.12%,452xx,OH,< 1 year,0.0
254,20000.0,2007-06-23,iltschi58,549.0,5.2%,201xx,VA,10+ years,0.0
255,5000.0,2007-06-23,VTNurse,650.0,11%,052xx,VT,2 years,0.0
256,25000.0,2007-06-24,betsy1120,570.0,22.56%,331xx,FL,2 years,0.0
257,4000.0,2007-06-24,Forex,657.0,39.55%,773xx,TX,2 years,0.0
258,11000.0,2007-06-24,personal loan,655.0,2.09%,104xx,NY,10+ years,0.0
259,7000.0,2007-06-24,clean slate,647.0,30.79%,216xx,MD,10+ years,0.0
260,4000.0,2007-06-24,prettybaby80,495.0,0%,104xx,NY,7 years,0.0
261,1400.0,2007-06-24,good person,488.0,8.94%,104xx,NY,9 years,0.0
262,15000.0,2007-06-24,pap0607,695.0,40.78%,296xx,SC,2 years,0.0
263,5000.0,2007-06-24,skywater,484.0,6.63%,857xx,AR,8 years,0.0
264,7500.0,2007-06-24,coffeeman,510.0,3.94%,211xx,MD,6 years,0.0
265,2000.0,2007-06-24,biblioteach,505.0,1.82%,287xx,NC,10+ years,0.0
266,20000.0,2007-06-24,DHaywood,543.0,0%,104xx,NY,< 1 year,0.0
267,9000.0,2007-06-24,mareliz,566.0,38.42%,018xx,MA,< 1 year,0.0
268,10000.0,2007-06-24,Moanablu,535.0,50.76%,550xx,MN,5 years,0.0
269,20000.0,2007-06-24,aujosh02,671.0,29.12%,368xx,AL,2 years,0.0
270,1000.0,2007-06-24,Rockstar,601.0,0%,467xx,IN,1 year,0.0
271,15000.0,2007-06-24,Choppee,480.0,680.31%,294xx,SC,1 year,0.0
272,15000.0,2007-06-24,alc1978,534.0,8.58%,917xx,CO,< 1 year,0.0
273,2000.0,2007-06-24,tammers,535.0,0.75%,285xx,NC,1 year,0.0
274,15000.0,2007-06-24,Btmason,571.0,23.6%,288xx,NC,< 1 year,0.0
275,20000.0,2007-06-25,G,609.0,27.72%,881xx,NM,2 years,0.0
276,13000.0,2007-06-25,terbehr,583.0,45.78%,843xx,UT,10+ years,0.0
277,25000.0,2007-06-25,evajones,623.0,23.01%,988xx,WA,4 years,0.0
278,2000.0,2007-06-25,Hismtngrl,527.0,51.73%,806xx,CO,6 years,0.0
279,20000.0,2007-06-25,singlemom71,596.0,9.96%,717xx,AR,6 years,0.0
280,5250.0,2007-06-25,musics,701.0,0.26%,180xx,PA,< 1 year,0.0
281,4000.0,2007-06-25,mfalette,524.0,5.04%,985xx,WA,1 year,0.0
282,12000.0,2007-06-25,legacy1,533.0,16.77%,370xx,TN,< 1 year,0.0
283,2500.0,2007-06-25,chappy84,574.0,3.2%,479xx,IN,1 year,0.0
284,6000.0,2007-06-25,Canisius College,645.0,9.51%,142xx,NY,< 1 year,0.0
285,5000.0,2007-06-25,Pandora46,606.0,40.88%,216xx,MD,10+ years,0.0
286,10700.0,2007-06-25,lynniea5,542.0,10.55%,201xx,VA,< 1 year,0.0
287,3500.0,2007-06-25,InjunNinja,487.0,0%,325xx,FL,1 year,0.0
288,3000.0,2007-06-25,fix1925,574.0,0%,464xx,IN,10+ years,0.0
289,6500.0,2007-06-25,cpetryk,533.0,50.4%,074xx,NJ,4 years,0.0
290,15000.0,2007-06-25,heyteacher,433.0,3.76%,308xx,GA,10+ years,0.0
291,5000.0,2007-06-25,Andrea Advincula,537.0,47.2%,477xx,IN,3 years,0.0
292,20000.0,2007-06-25,Skeeter,605.0,0%,847xx,UT,1 year,0.0
293,18000.0,2007-06-25,magoo69,632.0,33.05%,605xx,IL,10+ years,0.0
294,5000.0,2007-06-25,Willdukem07,0.0,0%,136xx,NY,10+ years,0.0
295,5000.0,2007-06-25,dwgallo,600.0,18.22%,088xx,NJ,10+ years,0.0
296,3500.0,2007-06-25,sharo41,432.0,4.03%,765xx,TX,2 years,0.0
297,1000.0,2007-06-25,teamgalvan,514.0,11.86%,809xx,CO,2 years,0.0
298,2500.0,2007-06-26,cebm82,625.0,33.12%,310xx,GA,5 years,0.0
299,13000.0,2007-06-26,Georgiadawgs45,0.0,0%,305xx,GA,< 1 year,0.0
300,1000.0,2007-06-26,CrawfordsGirl,493.0,18.84%,551xx,MN,< 1 year,0.0
301,4000.0,2007-06-26,SUZIEKLIND,537.0,22.95%,557xx,MN,3 years,0.0
302,4000.0,2007-06-26,semo_train,464.0,100.5%,633xx,MO,< 1 year,0.0
303,25000.0,2007-06-26,DedMansHnd,651.0,41.79%,765xx,TX,10+ years,0.0
304,1000.0,2007-06-26,psychnurse05,554.0,9.19%,559xx,MN,4 years,0.0
305,500.0,2007-06-26,lrod420,617.0,22.64%,660xx,KS,< 1 year,0.0
306,25000.0,2007-06-26,San_Diego,646.0,7.94%,921xx,CO,1 year,0.0
307,5500.0,2007-06-27,Kratos,594.0,18.76%,207xx,MD,< 1 year,0.0
