,avg_cur_bal,acc_open_past_24mths,inq_last_12m,total_cu_tl,inq_fi,total_rev_hi_lim,all_util,max_bal_bc,open_rv_24m,open_rv_12m,total_bal_il,open_il_24m,open_il_12m,open_act_il,open_acc_6m,tot_cur_bal,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,total_bc_limit,total_bal_ex_mort,tot_hi_cred_lim,pct_tl_nvr_dlq,num_tl_op_past_12m,tot_coll_amt,num_sats,num_rev_accts,num_op_rev_tl,num_il_tl,num_bc_tl,num_bc_sats,num_actv_rev_tl,num_actv_bc_tl,num_accts_ever_120_pd,num_rev_tl_bal_gt_0,last_fico_range_low,last_fico_range_high,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,fico_range_low,total_il_high_credit_limit,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,fico_range_high,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_acc,last_pymnt_amnt,last_pymnt_d,last_credit_pull_d,term,grade,loan_status,home_ownership,verification_status,purpose,addr_state,sub_grade
22,3797.0,1.0,1.0,0.0,0.0,36100.0,63.0,6881.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22780.0,187.0,22.0,22.0,0.0,29000.0,22780.0,36100.0,100.0,0.0,0.0,6.0,19.0,6.0,3.0,10.0,5.0,4.0,4.0,0.0,5.0,740.0,744.0,28000.0,28000.0,28000.0,13.44,949.38,125000.0,7.49,0.0,695.0,0.0,0.0,6.0,0.0,22780.0,63.1,699.0,0.0,0.0,33320.393323799,33320.39,28000.0,5320.39,22.0,12486.3,Dec-2017,Mar-2019, 36 months,C,Fully Paid,OWN,Source Verified,debt_consolidation,NY,C3
23,11884.0,1.0,0.0,0.0,2.0,9300.0,87.0,4360.0,0.0,0.0,26212.0,1.0,0.0,1.0,0.0,35653.0,36.0,32.0,19.0,0.0,4300.0,35653.0,41091.0,100.0,0.0,0.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,655.0,659.0,5000.0,5000.0,5000.0,13.44,169.54,79000.0,12.7,0.0,665.0,31791.0,0.0,3.0,0.0,9441.0,101.5,669.0,0.0,0.0,6117.4531971568,6117.45,5000.0,1117.45,5.0,169.17,Jan-2019,Mar-2019, 36 months,C,Fully Paid,RENT,Verified,credit_card,MD,C3
24,12911.0,1.0,1.0,1.0,0.0,11900.0,45.0,2260.0,1.0,0.0,12525.0,0.0,0.0,2.0,0.0,116195.0,259.0,18.0,18.0,2.0,3800.0,22741.0,156354.0,93.7,0.0,0.0,9.0,9.0,5.0,4.0,6.0,2.0,4.0,2.0,0.0,4.0,715.0,719.0,6000.0,6000.0,6000.0,7.49,186.61,100000.0,13.28,1.0,695.0,36083.0,1.0,9.0,0.0,8563.0,72.0,699.0,0.0,0.0,6711.710106701999,6711.71,6000.0,711.71,16.0,186.6,Jan-2019,Mar-2019, 36 months,A,Fully Paid,MORTGAGE,Not Verified,debt_consolidation,TX,A4
25,815.0,0.0,0.0,0.0,0.0,4300.0,22.0,367.0,0.0,0.0,3830.0,0.0,0.0,1.0,0.0,4888.0,53.0,26.0,26.0,0.0,2600.0,4888.0,21822.0,66.7,0.0,0.0,6.0,5.0,5.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,499.0,4225.0,4225.0,4225.0,14.85,146.16,35000.0,15.22,2.0,725.0,17522.0,0.0,6.0,0.0,1058.0,24.6,729.0,0.0,0.0,2558.87,2558.87,1536.9,653.6,6.0,146.16,Apr-2017,Dec-2017, 36 months,C,Charged Off,RENT,Source Verified,debt_consolidation,KS,C5
26,1287.0,2.0,1.0,0.0,2.0,76200.0,15.0,1448.0,1.0,0.0,13175.0,1.0,0.0,2.0,0.0,15444.0,295.0,19.0,15.0,0.0,76200.0,15444.0,106217.0,100.0,0.0,0.0,12.0,13.0,10.0,4.0,11.0,10.0,3.0,3.0,0.0,3.0,805.0,809.0,20000.0,20000.0,20000.0,5.32,602.3,65000.0,18.83,0.0,835.0,30017.0,1.0,12.0,0.0,2269.0,3.0,839.0,0.0,0.0,21631.7243289042,21631.72,20000.0,1631.72,17.0,3577.5,Aug-2018,Aug-2018, 36 months,A,Fully Paid,OWN,Not Verified,debt_consolidation,NY,A1
27,16631.0,5.0,1.0,3.0,0.0,48500.0,90.0,8897.0,3.0,1.0,20689.0,2.0,2.0,2.0,2.0,182936.0,164.0,3.0,3.0,1.0,15800.0,63158.0,228050.0,100.0,3.0,0.0,11.0,22.0,8.0,10.0,13.0,3.0,6.0,3.0,0.0,6.0,675.0,679.0,16000.0,16000.0,16000.0,17.97,406.04,109000.0,23.35,0.0,680.0,22000.0,1.0,11.0,0.0,42469.0,87.6,684.0,0.0,0.0,17471.57,17471.57,16000.0,1471.57,33.0,15481.3,Jul-2016,Jul-2016, 60 months,D,Fully Paid,MORTGAGE,Source Verified,debt_consolidation,NM,D4
28,12057.0,5.0,1.0,6.0,2.0,35500.0,63.0,9347.0,0.0,0.0,68644.0,4.0,1.0,10.0,0.0,229082.0,175.0,37.0,9.0,5.0,23600.0,80847.0,285027.0,100.0,1.0,0.0,20.0,13.0,8.0,24.0,7.0,4.0,2.0,2.0,0.0,2.0,775.0,779.0,17600.0,17600.0,17600.0,5.32,530.03,88000.0,26.59,0.0,780.0,92701.0,0.0,20.0,0.0,12203.0,34.4,784.0,0.0,0.0,18305.08,18305.08,17600.0,705.08,42.0,17.88,Nov-2016,Aug-2018, 36 months,A,Fully Paid,MORTGAGE,Source Verified,credit_card,KS,A1
29,2429.0,2.0,3.0,3.0,0.0,33800.0,50.0,5966.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17003.0,162.0,13.0,13.0,2.0,14300.0,17003.0,33800.0,90.5,0.0,0.0,7.0,14.0,7.0,5.0,4.0,2.0,6.0,2.0,0.0,6.0,690.0,694.0,15000.0,15000.0,15000.0,5.32,451.73,44000.0,15.34,0.0,685.0,0.0,1.0,7.0,0.0,17003.0,50.3,689.0,0.0,0.0,16280.5624758564,16280.56,15000.0,1257.97,21.0,455.59,Jan-2019,Jan-2019, 36 months,A,Fully Paid,MORTGAGE,Source Verified,home_improvement,VA,A1
30,5683.0,2.0,0.0,5.0,0.0,9500.0,64.0,739.0,2.0,2.0,34624.0,0.0,0.0,2.0,2.0,39781.0,360.0,1.0,1.0,0.0,4700.0,39781.0,80999.0,80.0,2.0,1830.0,7.0,7.0,5.0,12.0,3.0,3.0,5.0,3.0,1.0,5.0,625.0,629.0,16000.0,16000.0,16000.0,12.88,538.18,65000.0,18.96,0.0,675.0,71499.0,0.0,7.0,1.0,5157.0,54.3,679.0,0.0,0.0,17396.63,17396.63,13833.12,3402.05,20.0,565.09,Nov-2018,Mar-2019, 36 months,C,Charged Off,MORTGAGE,Not Verified,small_business,AL,C2
31,17783.0,13.0,3.0,1.0,1.0,38000.0,61.0,3138.0,10.0,2.0,13676.0,1.0,0.0,1.0,2.0,320098.0,104.0,2.0,2.0,2.0,29100.0,38475.0,344960.0,100.0,3.0,0.0,18.0,16.0,15.0,2.0,12.0,11.0,12.0,10.0,0.0,12.0,0.0,499.0,24250.0,24250.0,24250.0,24.24,701.01,75000.0,20.84,0.0,660.0,18300.0,0.0,18.0,0.0,24799.0,65.3,664.0,0.0,0.0,4124.42,4124.42,1332.69,2791.73,21.0,701.01,Jul-2016,Mar-2018, 60 months,F,Charged Off,MORTGAGE,Not Verified,debt_consolidation,NY,F3
32,26756.0,5.0,0.0,1.0,1.0,32600.0,65.0,12597.0,2.0,1.0,82819.0,3.0,1.0,4.0,0.0,374585.0,166.0,9.0,9.0,8.0,24100.0,103281.0,478544.0,87.2,2.0,5930.0,15.0,14.0,8.0,17.0,6.0,3.0,5.0,3.0,4.0,5.0,750.0,754.0,12000.0,12000.0,12000.0,10.78,391.62,98000.0,24.04,0.0,690.0,120544.0,0.0,15.0,1.0,20462.0,62.8,694.0,0.0,0.0,13349.6655894541,13349.67,12000.0,1349.67,39.0,7884.96,Apr-2017,Jun-2017, 36 months,B,Fully Paid,RENT,Not Verified,debt_consolidation,WA,B4
33,8556.0,12.0,3.0,6.0,2.0,121200.0,28.0,5447.0,8.0,4.0,67459.0,4.0,2.0,3.0,3.0,265233.0,174.0,1.0,1.0,6.0,72600.0,89978.0,389002.0,100.0,6.0,171.0,33.0,51.0,29.0,15.0,21.0,12.0,16.0,6.0,0.0,16.0,600.0,604.0,25000.0,25000.0,25000.0,13.99,581.58,79000.0,34.53,0.0,730.0,81802.0,1.0,33.0,0.0,22519.0,18.6,734.0,0.0,0.0,14490.92,14490.92,8364.55,6126.37,72.0,581.58,Feb-2018,Mar-2019, 60 months,C,Charged Off,MORTGAGE,Not Verified,debt_consolidation,MD,C4
34,28618.0,6.0,1.0,8.0,2.0,32600.0,53.0,4746.0,1.0,1.0,67959.0,4.0,0.0,4.0,0.0,314793.0,222.0,11.0,11.0,4.0,12600.0,75808.0,412771.0,64.4,1.0,0.0,11.0,28.0,5.0,12.0,22.0,4.0,3.0,3.0,12.0,3.0,755.0,759.0,16800.0,16800.0,16800.0,12.88,381.23,118000.0,34.29,0.0,680.0,115941.0,0.0,11.0,1.0,7849.0,24.1,684.0,7434.43,7434.43,14456.69,14456.69,9365.57,5091.12,46.0,381.23,Feb-2019,Nov-2017, 60 months,C,Current,MORTGAGE,Not Verified,debt_consolidation,MO,C2
35,6136.0,2.0,2.0,2.0,0.0,43200.0,25.0,6987.0,2.0,1.0,5337.0,0.0,0.0,1.0,0.0,55222.0,223.0,10.0,10.0,3.0,35300.0,15804.0,115502.0,97.1,1.0,0.0,10.0,17.0,8.0,14.0,5.0,4.0,4.0,2.0,0.0,4.0,765.0,769.0,7000.0,7000.0,7000.0,7.49,217.72,59000.0,13.06,1.0,730.0,20402.0,1.0,10.0,0.0,10467.0,24.2,734.0,0.0,0.0,7806.099471192901,7806.1,7000.0,806.1,34.0,425.19,Oct-2018,Mar-2019, 36 months,A,Fully Paid,MORTGAGE,Not Verified,credit_card,MD,A4
36,74481.0,1.0,2.0,0.0,1.0,23300.0,87.0,9358.0,0.0,0.0,352033.0,1.0,1.0,1.0,1.0,372407.0,131.0,85.0,5.0,0.0,23300.0,372407.0,370357.0,100.0,1.0,0.0,5.0,4.0,4.0,11.0,4.0,4.0,3.0,3.0,0.0,3.0,695.0,699.0,21000.0,21000.0,21000.0,13.99,488.53,52000.0,14.47,0.0,680.0,347057.0,1.0,5.0,0.0,20374.0,87.4,684.0,0.0,0.0,27285.807861269102,27285.81,21000.0,6285.81,15.0,12548.3,Aug-2018,Mar-2019, 60 months,C,Fully Paid,RENT,Source Verified,credit_card,OH,C4
37,19107.0,4.0,0.0,0.0,0.0,68700.0,55.0,12056.0,3.0,1.0,10003.0,1.0,0.0,1.0,1.0,267500.0,173.0,3.0,3.0,1.0,55500.0,44977.0,325100.0,100.0,1.0,0.0,14.0,17.0,12.0,1.0,9.0,7.0,10.0,6.0,0.0,10.0,730.0,734.0,27500.0,27500.0,27500.0,14.85,652.06,195000.0,6.79,0.0,700.0,13200.0,0.0,14.0,0.0,34974.0,50.9,704.0,0.0,0.0,29753.17,29753.17,27500.0,2253.17,19.0,25897.53,Aug-2016,Jul-2016, 60 months,C,Fully Paid,MORTGAGE,Not Verified,other,LA,C5
38,29558.0,4.0,2.0,0.0,1.0,15500.0,53.0,2445.0,3.0,3.0,14807.0,1.0,0.0,1.0,2.0,147791.0,7.0,2.0,2.0,2.0,15500.0,20256.0,189950.0,100.0,3.0,0.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,735.0,739.0,7200.0,7200.0,7200.0,11.48,237.36,72500.0,8.47,0.0,725.0,22450.0,1.0,5.0,0.0,5449.0,35.2,729.0,0.0,0.0,8253.8619255616,8253.86,7200.0,1053.86,7.0,3755.5,Sep-2017,Feb-2019, 36 months,B,Fully Paid,MORTGAGE,Verified,home_improvement,GA,B5
